Project,Type,Score
ABIRISK,fairScoreContentPost,2
ABIRISK,fairScoreContentPre,0.5
ABIRISK,fairScoreHostingPost,1.33
ABIRISK,fairScoreHostingPre,0.5
ABIRISK,fairScoreOverallPost,1
ABIRISK,fairScoreOverallPre,0
ABIRISK,fairScoreRepresentationPost,2
ABIRISK,fairScoreRepresentationPre,0.33
APPROACH,fairScoreContentPost,2.57
APPROACH,fairScoreContentPre,0.75
APPROACH,fairScoreHostingPost,2.67
APPROACH,fairScoreHostingPre,0.5
APPROACH,fairScoreOverallPost,2
APPROACH,fairScoreOverallPre,0
APPROACH,fairScoreRepresentationPost,2.5
APPROACH,fairScoreRepresentationPre,0.33
c4c,fairScoreContentPost,1.89
c4c,fairScoreContentPre,0.75
c4c,fairScoreHostingPost,1.5
c4c,fairScoreHostingPre,0.75
c4c,fairScoreOverallPost,1
c4c,fairScoreOverallPre,0
c4c,fairScoreRepresentationPost,1.13
c4c,fairScoreRepresentationPre,0.5
CARE,fairScoreContentPost,3.2
CARE,fairScoreContentPre,0.5
CARE,fairScoreHostingPost,4
CARE,fairScoreHostingPre,1
CARE,fairScoreOverallPost,3
CARE,fairScoreOverallPre,0
CARE,fairScoreRepresentationPost,3.33
CARE,fairScoreRepresentationPre,0.67
COMBINE,fairScoreContentPost,1.57
COMBINE,fairScoreContentPre,1
COMBINE,fairScoreHostingPost,1.67
COMBINE,fairScoreHostingPre,1
COMBINE,fairScoreOverallPost,1
COMBINE,fairScoreOverallPre,0
COMBINE,fairScoreRepresentationPost,2
COMBINE,fairScoreRepresentationPre,0.6
EBiSC,fairScoreContentPost,2.86
EBiSC,fairScoreContentPre,0.5
EBiSC,fairScoreHostingPost,3
EBiSC,fairScoreHostingPre,1
EBiSC,fairScoreOverallPost,2
EBiSC,fairScoreOverallPre,0
EBiSC,fairScoreRepresentationPost,3
EBiSC,fairScoreRepresentationPre,0
eTOX,fairScoreContentPost,2
eTOX,fairScoreContentPre,0.25
eTOX,fairScoreHostingPost,1.67
eTOX,fairScoreHostingPre,0
eTOX,fairScoreOverallPost,1
eTOX,fairScoreOverallPre,0
eTOX,fairScoreRepresentationPost,1.5
eTOX,fairScoreRepresentationPre,0.33
EUbOPEN,fairScoreContentPost,2.86
EUbOPEN,fairScoreContentPre,0.5
EUbOPEN,fairScoreHostingPost,3
EUbOPEN,fairScoreHostingPre,0.25
EUbOPEN,fairScoreOverallPost,2
EUbOPEN,fairScoreOverallPre,0
EUbOPEN,fairScoreRepresentationPost,3
EUbOPEN,fairScoreRepresentationPre,0.67
GNA-NOW,fairScoreContentPost,2
GNA-NOW,fairScoreContentPre,1
GNA-NOW,fairScoreHostingPost,2
GNA-NOW,fairScoreHostingPre,1
GNA-NOW,fairScoreOverallPost,1
GNA-NOW,fairScoreOverallPre,0
GNA-NOW,fairScoreRepresentationPost,1.13
GNA-NOW,fairScoreRepresentationPre,0.67
IMIDIA,fairScoreContentPost,1.86
IMIDIA,fairScoreContentPre,0.75
IMIDIA,fairScoreHostingPost,2
IMIDIA,fairScoreHostingPre,1
IMIDIA,fairScoreOverallPost,1
IMIDIA,fairScoreOverallPre,0
IMIDIA,fairScoreRepresentationPost,2
IMIDIA,fairScoreRepresentationPre,1
ND4BB,fairScoreContentPost,0.66
ND4BB,fairScoreContentPre,0.33
ND4BB,fairScoreHostingPost,0.75
ND4BB,fairScoreHostingPre,0
ND4BB,fairScoreOverallPost,0
ND4BB,fairScoreOverallPre,0
ND4BB,fairScoreRepresentationPost,0.5
ND4BB,fairScoreRepresentationPre,0.25
OncoTrack,fairScoreContentPost,1.86
OncoTrack,fairScoreContentPre,0
OncoTrack,fairScoreHostingPost,1.33
OncoTrack,fairScoreHostingPre,0
OncoTrack,fairScoreRepresentationPost,2
OncoTrack,fairScoreRepresentationPre,0.33
OncoTrack,fairScoreOverallPost,1
OncoTrack,fairScoreOverallPre,0
ReSOLUTE,fairScoreContentPost,3.2
ReSOLUTE,fairScoreContentPre,0.25
ReSOLUTE,fairScoreHostingPost,3.67
ReSOLUTE,fairScoreHostingPre,0.25
ReSOLUTE,fairScoreOverallPost,3
ReSOLUTE,fairScoreOverallPre,0
ReSOLUTE,fairScoreRepresentationPost,3.17
ReSOLUTE,fairScoreRepresentationPre,0.33
RHAPSODY,fairScoreContentPost,2.86
RHAPSODY,fairScoreContentPre,1.75
RHAPSODY,fairScoreHostingPost,3
RHAPSODY,fairScoreHostingPre,2
RHAPSODY,fairScoreOverallPost,2
RHAPSODY,fairScoreOverallPre,1
RHAPSODY,fairScoreRepresentationPost,3
RHAPSODY,fairScoreRepresentationPre,2
ULTRA-DD,fairScoreContentPost,2.86
ULTRA-DD,fairScoreContentPre,0.5
ULTRA-DD,fairScoreHostingPost,3
ULTRA-DD,fairScoreHostingPre,0.25
ULTRA-DD,fairScoreOverallPost,2
ULTRA-DD,fairScoreOverallPre,0
ULTRA-DD,fairScoreRepresentationPost,3
ULTRA-DD,fairScoreRepresentationPre,0.67
EBiSC2,fairScoreContentPost,2.86
EBiSC2,fairScoreContentPre,0.5
EBiSC2,fairScoreHostingPost,3
EBiSC2,fairScoreHostingPre,1
EBiSC2,fairScoreOverallPost,2
EBiSC2,fairScoreOverallPre,0
EBiSC2,fairScoreRepresentationPost,3
EBiSC2,fairScoreRepresentationPre,0
