Project,Type,Score
EUbOPEN,fairScoreContentPost,2.89
EUbOPEN,fairScoreContentPre,0.5
EUbOPEN,fairScoreHostingPost,3
EUbOPEN,fairScoreHostingPre,0.25
EUbOPEN,fairScoreOverallPost,2
EUbOPEN,fairScoreOverallPre,0
EUbOPEN,fairScoreRepresentationPost,3
EUbOPEN,fairScoreRepresentationPre,0.67
ULTRA-DD,fairScoreContentPost,2.89
ULTRA-DD,fairScoreContentPre,0.5
ULTRA-DD,fairScoreHostingPost,3
ULTRA-DD,fairScoreHostingPre,0.25
ULTRA-DD,fairScoreOverallPost,2
ULTRA-DD,fairScoreOverallPre,0
ULTRA-DD,fairScoreRepresentationPost,3
ULTRA-DD,fairScoreRepresentationPre,0.67
eTOX,fairScoreContentPost,2
eTOX,fairScoreContentPre,0.25
eTOX,fairScoreHostingPost,1.75
eTOX,fairScoreHostingPre,0
eTOX,fairScoreOverallPost,1
eTOX,fairScoreOverallPre,0
eTOX,fairScoreRepresentationPost,1.88
eTOX,fairScoreRepresentationPre,0.33
BIOMAP,fairScoreContentPost,2.33
BIOMAP,fairScoreContentPre,2
BIOMAP,fairScoreHostingPost,2.6
BIOMAP,fairScoreHostingPre,2
BIOMAP,fairScoreOverallPost,2
BIOMAP,fairScoreOverallPre,1
BIOMAP,fairScoreRepresentationPost,2.63
BIOMAP,fairScoreRepresentationPre,1.88
imSAVAR,fairScoreContentPost,0.75
imSAVAR,fairScoreContentPre,0.25
imSAVAR,fairScoreHostingPost,0.75
imSAVAR,fairScoreHostingPre,0.5
imSAVAR,fairScoreOverallPost,0
imSAVAR,fairScoreOverallPre,0
imSAVAR,fairScoreRepresentationPost,1
imSAVAR,fairScoreRepresentationPre,0.67
